"Descrição do Bem","Valor"
"EVAPORADORA DE AR CONDICIONADO FUJITSU ASBA30JFC F INVER","1.988,40"
"CONDENSADORA DE AR CONDICIONADO FUJITSU SEM MODELO","2.982,60"
"CADEIRA SEM MARCA ESPALDAR ALTO","644,60"
"CADEIRA SEM MARCA ESPALDAR ALTO","644,60"
"CADEIRA SEM MARCA ESPALDAR ALTO","644,60"
"CADEIRA SEM MARCA ESPALDAR ALTO","644,60"
"CADEIRA SEM MARCA ESPALDAR ALTO","644,60"
"ARMÁRIO MARELLI madeira suspenso com porta, cor argila","512,20"
"ARMÁRIO MARELLI madeira suspenso com porta, cor carvalho gris","512,20"
"ARMÁRIO MARELLI madeira suspenso sem porta, cor argila","406,70"
"ARMÁRIO MARELLI madeira suspenso sem porta, cor argila","406,70"
"CADEIRA MARELLI ESPALDAR BAIΧΟ","538,11"
"CADEIRA MARELLI ESPALDAR BAIΧΟ","538,11"
"LONGARINA MARELLI 03 Lugares, com braços, espaldar médio","988,07"
"CAFETEIRA MARCHESONI AISI 304","650,00"
"CARRO PARA TRANSPORTE DE ALIMENTOS THERJ AÇO INOX AUSTENITICO AISI 304","1.400,00"
"ARMÁRIO MARELLI Madeira alto semi-aberto 160x050x080m, cor argila","987,81"
"ARMÁRIO MARELLI madeira suspenso sem porta, cor argila","406,70"
"ARMÁRIO MARELLI madeira suspenso sem porta, cor argila","406,70"
"ARMÁRIO MARELLI madeira suspenso sem porta, cor argila","406,70"
"ARMÁRIO MARELLI madeira suspenso sem porta, cor argila","406,70"
"ARMÁRIO MARELLI madeira suspenso com porta, cor argila","512,20"
"ARMÁRIO MARELLI madeira suspenso com porta, cor argila","512,20"
"ARMÁRIO MARELLI madeira suspenso com porta, cor argila","512,20"
"CADEIRA MARELLI ESPALDAR ALTO","644,60"
"CADEIRA MARELLI ESPALDAR ALTO","644,60"
"CADEIRA MARELLI 03 Lugares, com braços, espaldar médio","988,07"
"ARMÁRIO MARELLI madeira baixo 080x050x075m, cor arigila","611,43"
"ARMÁRIO MARELLI madeira baixo 080x050x075m, cor arigila","611,43"
"GAVETEIRO MARELLI volante, cor carvalho gris","604,65"
"GAVETEIRO MARELLI volante, cor argila","604,65"
"MESA MARELLI AUTOPORTANTE EM L 1,40M X 1,40M X 0,60M","831,33"
"ARMÁRIO MARELLI ALTO 0,80 Χ 0,50 1,60M, cor argila","1.040,11"
"ARMÁRIO MARELLI ALTO 0,80x0,50x1,60M, cor argila","1.040,11"
"ARMÁRIO MARELLI ALTO 0,80 X 0,50 X 1,60M, cor argila","1.040,11"
"ARMÁRIO MARELLI ALTO 0,80 X 0,50 X 1,60M, cor argila","1.040,11"
"ARMÁRIO MARELLI ALTO 0,80x0,50x1,60M, cor argila","1.040,11"
"ARMÁRIO MARELLI ALTO 0,80x0,50x1,60M, cor argila","1.040,11"
"ARMÁRIO MARELLI ALTO 0,80x0.50x1.60M, cor argila","1.040,11"
"ARMÁRIO MARELLI ALTO 0,80x0.50x1,60M, cor argila","1.040,11"
"ARMÁRIO MARELLI Madeira alto semi-aberto 160x050x080m, cor argila","987,81"
"ARMÁRIO MARELLI Madeira alto semi-aberto 160x050x080m, cor argila","987,81"
"ARMÁRIO MARELLI Madeira alto semi-aberto 160x050x080m, cor argila","987,81"
"ARMÁRIO MARELLI Madeira alto semi-aberto 160x050x080m, cor argila","987,81"
"ARMÁRIO MARELLI Madeira alto semi-aberto 160x050x080m, cor argila","987,81"
"ARMÁRIO MARELLI Madeira alto semi-aberto 160x050x080m, cor argila","987,81"
"ARMÁRIO MARELLI Madeira alto semi-aberto 160x050x080m, cor carvalho gris","987,81"
"MESA MARELLI reunião ovalada, 3,00 x 1,20 x 0,755M, cor argila","1.267,25"
"ARMÁRIO MARELLI Madeira alto semi-aberto 160x050x080m, cor argila","987,81"
"ARMÁRIO MARELLI Madeira alto semi-aberto 160x050x080m, cor argila","987,81"
"ARMÁRIO MARELLI Madeira alto semi-aberto 160x050x080m, cor argila","987,81"
"ARMÁRIO MARELLI Madeira alto semi-aberto 160x050x080m, cor argila","987,81"
"ARMÁRIO MARELLI Madeira alto semi-aberto 160x050x080m, cor argila","987,81"
"ARMARIO MARELLI Madeira alto semi-aberto 160x050x080m, cor argila","987,81"
"ARMÁRIO MARELLI Madeira alto semi-aberto 160x050x080m, cor argila","987,81"
"ARMÁRIO MARELLI Madeira alto semi-aberto 160x050x080m, cor argila","987,81"
"ARMÁRIO MARELLI Madeira alto semi-aberto 160x050x080m, cor argila","987,81"
"CADEIRA ESPALDAR MÉDIO COM PRANCHETA ESCAMOTEAVEL, GRADE PORTA-LIVROS","565,28"
"CADEIRA ESPALDAR MÉDIO COM PRANCHETA ESCAMOTEÁVEL, GRADE PORTA-LIVROS","565,28"
"CADEIRA ESPALDAR MÉDIO COM PRANCHETA ESCAMOTEAVEL, GRADE PORTA-LIVROS","565,28"
"CADEIRA ESPALDAR MÉDIO COM PRANCHETA ESCAMOTEAVEL, GRADE PORTA-LIVROS","565,28"
"CADEIRA ESPALDAR MÉDIO COM PRANCHETA ESCAMOTEAVEL, GRADE PORTA-LIVROS","565,28"
"CADEIRA ESPALDAR MÉDIO COM PRANCHETA ESCAMOTEAVEL, GRADE PORTA-LIVROS","565,28"
"CADEIRA ESPALDAR MÉDIO COM PRANCHETA ESCAMOTEAVEL, GRADE PORTA-LIVROS","565,28"
"CADEIRA ESPALDAR MÉDIO COM PRANCHETA ESCAMOTEAVEL, GRADE PORTA-LIVROS","565,28"
"CADEIRA ESPALDAR MÉDIO COM PRANCHETA ESCAMOTEAVEL, GRADE PORTA-LIVROS","565,28"
"CADEIRA ESPALDAR MÉDIO COM PRANCHETA ESCAMOTEAVEL, GRADE PORTA-LIVROS","565,28"
"CADEIRA ESPALDAR MÉDIO COM PRANCHETA ESCAMOTEAVEL, GRADE PORTA-LIVROS","565,28"
"CADEIRA ESPALDAR MÉDIO COM PRANCHETA ESCAMOTEAVEL, GRADE PORTA-LIVROS","565,28"
"CADEIRA ESPALDAR MÉDIO COM PRANCHETA ESCAMOTEÁVEL, GRADE PORTA-LIVROS","565,28"
